Model	Transcription factor
HXC9_HUMAN.H11MO.0.C	HOXC9
IKZF1_HUMAN.H11MO.0.C	IKZF1
INSM1_HUMAN.H11MO.0.C	INSM1
IRF7_HUMAN.H11MO.0.C	IRF7
IRF9_HUMAN.H11MO.0.C	IRF9
ITF2_HUMAN.H11MO.0.C	TCF4
KLF12_HUMAN.H11MO.0.C	KLF12
KLF8_HUMAN.H11MO.0.C	KLF8
KLF9_HUMAN.H11MO.0.C	KLF9
LHX3_HUMAN.H11MO.0.C	LHX3
MECP2_HUMAN.H11MO.0.C	MECP2
MTF1_HUMAN.H11MO.0.C	MTF1
MYF6_HUMAN.H11MO.0.C	MYF6
NF2L1_HUMAN.H11MO.0.C	NFE2L1
NFAC4_HUMAN.H11MO.0.C	NFATC4
NFIA_HUMAN.H11MO.0.C	NFIA
NKX28_HUMAN.H11MO.0.C	NKX2-8
NKX31_HUMAN.H11MO.0.C	NKX3-1
NKX32_HUMAN.H11MO.0.C	NKX3-2
NOBOX_HUMAN.H11MO.0.C	NOBOX
NR1I2_HUMAN.H11MO.0.C	NR1I2
NR1I3_HUMAN.H11MO.0.C	NR1I3
NR2C1_HUMAN.H11MO.0.C	NR2C1
NR2E3_HUMAN.H11MO.0.C	NR2E3
NR4A2_HUMAN.H11MO.0.C	NR4A2
OSR2_HUMAN.H11MO.0.C	OSR2
OVOL1_HUMAN.H11MO.0.C	OVOL1
OZF_HUMAN.H11MO.0.C	ZNF146
PATZ1_HUMAN.H11MO.0.C	PATZ1
PATZ1_HUMAN.H11MO.1.C	PATZ1
PAX6_HUMAN.H11MO.0.C	PAX6
PBX1_HUMAN.H11MO.1.C	PBX1
PBX2_HUMAN.H11MO.0.C	PBX2
PEBB_HUMAN.H11MO.0.C	CBFB
PIT1_HUMAN.H11MO.0.C	POU1F1
PO2F1_HUMAN.H11MO.0.C	POU2F1
PO3F1_HUMAN.H11MO.0.C	POU3F1
PRDM6_HUMAN.H11MO.0.C	PRDM6
PRRX2_HUMAN.H11MO.0.C	PRRX2
RELB_HUMAN.H11MO.0.C	RELB
RORA_HUMAN.H11MO.0.C	RORA
RORG_HUMAN.H11MO.0.C	RORC
RXRB_HUMAN.H11MO.0.C	RXRB
SMCA1_HUMAN.H11MO.0.C	SMARCA1
SMCA5_HUMAN.H11MO.0.C	SMARCA5
